##BLOCKS= 61         																					
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0455	0.0586	0.0577	0.1062	0.1758	0.2543	0.2956	0.3389	0.293	0.2875	0.3025									
		0.0469	0.0587	0.0586	0.1046	0.1594	0.2454	0.3258	0.3266	0.3678	0.3396	0.3251									
		0.0462	0.0579	0.0573	0.1062	0.1637	0.2524	0.2907	0.3401	0.3094	0.2951	0.3325									
		0.0446	0.117	0.1689	0.2203	0.2096	0.2334	0.2437	0.3047	0.3449	0.3159	0.3104									
		0.0454	0.1205	0.1447	0.1601	0.1888	0.2204	0.2769	0.2722	0.3289	0.3066	0.3051									
		0.0449	0.1226	0.1432	0.1887	0.2218	0.2542	0.2702	0.2485	0.2848	0.2846	0.294									
																					
																					
~End																					
Plate:	HCC1187 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0466	0.0555	0.0544	0.1264	0.1577	0.2682	0.348	0.5239	0.457	0.5333	0.9055									
		0.0447	0.0558	0.0561	0.1346	0.1447	0.205	0.3218	0.4911	0.5143	0.5004	0.7322									
		0.0446	0.0578	0.0638	0.1353	0.1687	0.2428	0.3377	0.4855	0.6664	0.6497	0.7801									
		0.0448	0.1531	0.1089	0.2535	0.3408	0.3186	0.3123	0.6471	0.729	0.7003	0.7805									
		0.0443	0.1401	0.1504	0.2765	0.2936	0.4019	0.5315	0.4889	0.6687	0.7858	0.7652									
		0.0445	0.1546	0.1249	0.3004	0.3858	0.2074	0.5238	0.4922	0.4889	0.5445	0.5557									
																					
																					
~End																					
Plate:	MDA157 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0449	0.0527	0.0549	0.1191	0.161	0.2235	0.2385	0.2533	0.2484	0.2465	0.2905									
		0.0444	0.0524	0.0559	0.117	0.135	0.1952	0.2526	0.2671	0.2214	0.2558	0.2814									
		0.044	0.0515	0.0571	0.1054	0.1462	0.1644	0.2281	0.2497	0.2211	0.2531	0.2906									
		0.044	0.1352	0.2332	0.2419	0.2601	0.2413	0.267	0.3223	0.2597	0.3342	0.2755									
		0.0449	0.1489	0.1886	0.2281	0.1967	0.2486	0.2498	0.2498	0.2761	0.2709	0.2839									
		0.0454	0.1477	0.2191	0.2363	0.2676	0.2682	0.2727	0.2396	0.2423	0.2621	0.2712									
																					
																					
~End																					
Plate:	ZR-75-1 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.044	0.0705	0.066	0.1561	0.2486	0.4265	0.5306	0.589	0.5678	0.7542	0.7091									
		0.0442	0.0642	0.0698	0.1487	0.304	0.5338	0.5683	0.6756	0.6654	0.7379	0.5993									
		0.0438	0.072	0.0659	0.143	0.3526	0.4942	0.6036	0.7515	0.6738	0.726	0.6923									
		0.0452	0.4668	0.4731	0.4837	0.6517	0.6646	0.6555	0.7291	0.6424	0.707	0.7512									
		0.0441	0.3908	0.503	0.5552	0.6949	0.6277	0.6809	0.6882	0.703	0.7009	0.6551									
		0.0447	0.4146	0.4628	0.5366	0.7322	0.5355	0.5404	0.5786	0.527	0.5823	0.5998									
																					
																					
~End																					
Plate:	SKBR3 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0473	0.0576	0.061	0.0648	0.0718	0.0779	0.0755	0.077	0.0753	0.0756	0.0752									
		0.0457	0.0578	0.0594	0.0592	0.0705	0.073	0.0738	0.0775	0.0732	0.0759	0.08									
		0.0459	0.0581	0.0581	0.062	0.0714	0.0739	0.0807	0.0815	0.076	0.0747	0.0826									
		0.0447	0.0716	0.0787	0.0729	0.0761	0.0794	0.0796	0.0776	0.0764	0.0737	0.0829									
		0.0443	0.0662	0.0717	0.0734	0.0991	0.0778	0.0787	0.077	0.078	0.0768	0.0808									
		0.0445	0.0728	0.0726	0.0793	0.0806	0.0799	0.0801	0.0796	0.0777	0.0776	0.0763									
																					
																					
~End																					
Plate:	HDQP-1 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0459	0.0645	0.0617	0.0894	0.0933	0.1581	0.3134	0.4091	0.3866	0.4138	0.4127									
		0.046	0.0556	0.0553	0.0792	0.0918	0.1536	0.2602	0.3316	0.3226	0.3632	0.4356									
		0.0451	0.0553	0.0574	0.0888	0.0959	0.1475	0.2672	0.376	0.3303	0.3778	0.4698									
		0.0447	0.2587	0.411	0.3874	0.4388	0.5144	0.4386	0.5265	0.5127	0.4075	0.4756									
		0.046	0.2547	0.3376	0.3807	0.3455	0.4491	0.4394	0.4018	0.4638	0.4612	0.4412									
		0.0438	0.2282	0.3129	0.3829	0.416	0.391	0.4313	0.4272	0.4355	0.4864	0.4644									
																					
																					
~End																					
Plate:	MDA175 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0461	0.081	0.0771	0.1451	0.3363	0.3895	0.4255	0.4542	0.4254	0.4402	0.4493									
		0.0448	0.0757	0.082	0.1385	0.3031	0.384	0.4025	0.3902	0.4135	0.4152	0.4577									
		0.0461	0.0763	0.073	0.1499	0.3493	0.4214	0.4129	0.5206	0.4077	0.4674	0.4604									
		0.0449	0.391	0.3934	0.4176	0.5025	0.4877	0.5722	0.3942	0.4399	0.4726	0.4054									
		0.0437	0.3876	0.3631	0.3945	0.3835	0.4594	0.4372	0.4223	0.4158	0.3951	0.4115									
		0.0437	0.3824	0.4104	0.3747	0.39	0.4125	0.3992	0.3857	0.4109	0.4055	0.418									
																					
																					
~End																					
Plate:	HCC1937 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0449	0.0673	0.065	0.1258	0.1764	0.2338	0.2852	0.3269	0.3336	0.3514	0.3518									
		0.044	0.0695	0.0611	0.1273	0.1721	0.2282	0.3079	0.3593	0.3261	0.3608	0.3137									
		0.0448	0.0675	0.0618	0.1326	0.1605	0.2137	0.2966	0.3493	0.3035	0.3772	0.3351									
		0.0434	0.28	0.3426	0.372	0.4333	0.4299	0.3288	0.4393	0.4305	0.3922	0.419									
		0.0439	0.2511	0.333	0.3432	0.3909	0.3795	0.4367	0.4104	0.3685	0.3853	0.373									
		0.0438	0.2823	0.3028	0.3513	0.3361	0.32	0.3548	0.3408	0.3671	0.3809	0.3598									
																					
																					
~End																					
